date,asset,ret
2015-01-05,SPY,-0.01805968099732802
2015-01-06,SPY,-0.009418742746364228
2015-01-07,SPY,0.012461039081989478
2015-01-08,SPY,0.017745114289825725
2015-01-09,SPY,-0.008013819639706043
2015-01-12,SPY,-0.00783345968721727
2015-01-13,SPY,-0.002812673661118259
2015-01-14,SPY,-0.00603720247199524
2015-01-15,SPY,-0.009160480545227556
2015-01-16,SPY,0.013114290589304689
2015-01-20,SPY,0.0021323072233072615
2015-01-21,SPY,0.005048233651669065
2015-01-22,SPY,0.014871022088918329
2015-01-23,SPY,-0.005482726301029972
2015-01-26,SPY,0.0023412608091728515
2015-01-27,SPY,-0.013190028369403639
2015-01-28,SPY,-0.012824312373384772
2015-01-29,SPY,0.00924360781494804
2015-01-30,SPY,-0.012574828177401076
2015-02-02,SPY,0.012383644093052482
2015-02-03,SPY,0.014461512799015086
2015-02-04,SPY,-0.0038080313256113607
2015-02-05,SPY,0.010095117290738198
2015-02-06,SPY,-0.002765590504704596
2015-02-09,SPY,-0.004475420594249324
2015-02-10,SPY,0.01065335025647629
2015-02-11,SPY,0.0005799071311114457
2015-02-12,SPY,0.009616836676544338
2015-02-13,SPY,0.00411633619444296
2015-02-17,SPY,0.0015728918743111997
2015-02-18,SPY,9.549862118940489e-05
2015-02-19,SPY,-0.0007138475999822758
2015-02-20,SPY,0.00600056825690265
2015-02-23,SPY,-0.00014208909169222128
2015-02-24,SPY,0.002840615409095415
2015-02-25,SPY,-0.0008494575867523668
2015-02-26,SPY,-0.0011813711636780022
2015-02-27,SPY,-0.0034060488813123513
2015-03-02,SPY,0.006313563999180705
2015-03-03,SPY,-0.004104179048591838
2015-03-04,SPY,-0.004215436276403306
2015-03-05,SPY,0.0010940570955295659
2015-03-06,SPY,-0.014064845738707143
2015-03-09,SPY,0.00414468388527256
2015-03-10,SPY,-0.01622184564636464
2015-03-11,SPY,-0.0023418660626636223
2015-03-12,SPY,0.012713945858827014
2015-03-13,SPY,-0.0061322358666136
2015-03-16,SPY,0.013360373537957937
2015-03-17,SPY,-0.0029719258438116736
2015-03-18,SPY,0.012021484542856342
2015-03-19,SPY,-0.004561862628813751
2015-03-20,SPY,0.008827020736045021
2015-03-23,SPY,-0.001948552495142808
2015-03-24,SPY,-0.005619041920508994
2015-03-25,SPY,-0.014653606452699308
2015-03-26,SPY,-0.002381637561031935
2015-03-27,SPY,0.0022898286444301696
2015-03-30,SPY,0.012199735359751385
2015-03-31,SPY,-0.008739507996828655
2015-04-01,SPY,-0.0035361144594238114
2015-04-02,SPY,0.003597352940363452
2015-04-06,SPY,0.006733254897019592
2015-04-07,SPY,-0.0026460915251107497
2015-04-08,SPY,0.0033768326870466936
2015-04-09,SPY,0.004423405834630412
2015-04-10,SPY,0.005457291985800472
2015-04-13,SPY,-0.004523161552987043
2015-04-14,SPY,0.001913216405585061
2015-04-15,SPY,0.004487052746073861
2015-04-16,SPY,-0.00028539902427360264
2015-04-17,SPY,-0.011503189987359996
2015-04-20,SPY,0.009136713829827503
2015-04-21,SPY,-0.0011913420924526408
2015-04-22,SPY,0.004914054370532828
2015-04-23,SPY,0.0025161636429507084
2015-04-24,SPY,0.0023204718223208687
2015-04-27,SPY,-0.004157680546055698
2015-04-28,SPY,0.0031787980566382323
2015-04-29,SPY,-0.00411444125851268
2015-04-30,SPY,-0.010020566601195102
2015-05-01,SPY,0.010841619103818534
2015-05-04,SPY,0.002847189402643835
2015-05-05,SPY,-0.011451821569392728
2015-05-06,SPY,-0.0041168752105789075
