date,SPY,VEA,EEM,IEF,TLT,TIP,LQD,VNQ,GLD,DBC
2015-01-05,-0.01805968099732802,-0.022286978962528403,-0.017796974184506653,0.006100926026696429,0.01570784547205517,0.0007982966301645078,0.004088648043794274,0.005473070128470425,0.015077149308345472,-0.014262362650027116
2015-01-06,-0.009418742746364228,-0.01112624322179534,-0.004201566972025561,0.006718344226396722,0.018017511097730754,8.866896340031793e-05,0.00407303059958708,0.009918831289549956,0.011398960794795743,-0.009460216039631653
2015-01-07,0.012461039081989478,0.010703020541994901,0.02162448721150989,-0.0001854557904470422,-0.00197476371492733,0.0007975891395832768,0.0013244311931797093,0.015331260236597144,-0.005891414149803653,-0.006179673921027029
2015-01-08,0.017745114289825725,0.015204726351316644,0.017036655172439907,-0.004078337572936519,-0.013242919767848305,-0.001593726751204616,-0.0032242000802319426,0.0037752925059599818,-0.00420851895976293,0.003957013146619115
2015-01-09,-0.008013819639706043,-0.004814129157389213,-0.0032993060643212724,0.004932571119528495,0.010952431663529438,0.003015438891868172,0.0026531669619047626,0.0004697508707085518,0.011385196369055883,-0.001689178674898928
2015-01-12,-0.00783345968721727,-0.0010747663249642825,-0.008148987223356774,0.003519656121430126,0.005722270019621556,-0.00026521529911593955,0.0019027167469030104,0.007635388717390779,0.011086435260788896,-0.02199660600125608
2015-01-13,-0.002812673661118259,0.004842693623705374,0.008728989351089567,0.0009228865118453555,0.0,-0.0015919839982427852,0.0009083801891520693,-0.001515645422605405,-0.003373767752371082,-0.004036883670224922
2015-01-14,-0.00603720247199524,-0.002677737124845203,-0.005599494005639638,0.004610358166969197,0.007586203968117378,0.005935752962173746,0.0017316335585315645,0.008640230261195647,-0.0016080097792615655,0.011001733447742579
2015-01-15,-0.009160480545227556,0.005637557551037231,0.002303788150256114,0.008536233794305126,0.01573534262983367,0.007926912504327976,0.005187499907097326,0.002315137545147339,0.025175902263040006,-0.013745747538164044
2015-01-16,0.013114290589304689,0.010944777276041817,0.00842687420205479,-0.007371833423841623,-0.012748875051804553,-0.00559243542830834,-0.005570348407871184,0.008661402560220743,0.013064281211881523,0.019163840327533155
2015-01-20,0.0021323072233072615,0.004489155912491549,-0.0015195237706890907,0.0022921203098762444,0.013288624408296368,0.0023727294839785973,0.002306887296087634,-0.007900040113520634,0.013712049879254229,-0.013675256085659893
2015-01-21,0.005048233651669065,0.0073608969658311985,0.02206446303560372,-0.004756893296917086,-0.011559140239165822,-0.0041207910098775,-0.00041096623335634686,-0.000692457189814033,0.00024159749942587183,0.006354733672496726
2015-01-22,0.014871022088918329,0.003653520204131233,0.01910693805337771,-0.0024814611455639124,-0.0035980181179113835,0.0002645388178241781,-0.0004933251291824314,0.017784969918275717,0.008049585228834255,-0.0011480984142449024
2015-01-23,-0.005482726301029972,-0.00598049131107159,-0.007548169449980269,0.006542176873505667,0.01391827987847094,0.006071857432927263,0.005839850440726657,-0.002837022469372341,-0.007985306821000182,-0.006321864155122259
2015-01-26,0.0023412608091728515,0.013340227659419002,0.0004906862842366522,-0.002288910880935413,-0.0030422039850303007,-0.0016622494018599943,-0.0002450746771883727,0.008420774816961352,-0.00998152990144674,-0.0034703227448431573
2015-01-27,-0.013190028369403639,0.0007748427985037054,-0.005394722709448629,0.001376963610471682,0.0015624657658528385,0.0031548208187321958,0.0007365117970639101,0.0003387677837090042,0.011464376669647391,0.005223480798604685
2015-01-28,-0.012824312373384772,-0.013154967092095071,-0.010848387625122635,0.00769625494904802,0.016348677295830782,0.003842926234464805,0.00678438677995441,-0.006655710825028249,-0.00787784039319106,-0.01443402570293939
2015-01-29,0.00924360781494804,0.013591383154634595,0.0,-0.003546170525150716,-0.006580292106612817,-0.0011303832332094643,-0.0023543478027873155,0.0035207157982233284,-0.021552390797103027,-0.004686687084767938
