Date,SPY,VEA,EEM,IEF,TLT,TIP,LQD,VNQ,GLD,DBC
2015-01-02,170.12498474121094,26.925588607788086,30.35504150390625,83.14152526855469,93.71211242675781,84.51336669921875,81.0270767211914,52.54986572265625,114.08000183105469,15.412327766418457
2015-01-05,167.05258178710938,26.325498580932617,29.8148136138916,83.64876556396484,95.18412780761719,84.5808334350586,81.35836791992188,52.83747482299805,115.80000305175781,15.192511558532715
2015-01-06,165.47915649414062,26.032594680786133,29.689544677734375,84.21074676513672,96.89910888671875,84.58833312988281,81.68974304199219,53.3615608215332,117.12000274658203,15.048787117004395
2015-01-07,167.54119873046875,26.311222076416016,30.331565856933594,84.19512939453125,96.70775604248047,84.65579986572266,81.79793548583984,54.17966079711914,116.43000030517578,14.955790519714355
2015-01-08,170.5142364501953,26.71127700805664,30.84831428527832,83.85175323486328,95.42706298828125,84.52088165283203,81.5342025756836,54.38420486450195,115.94000244140625,15.014970779418945
2015-01-09,169.14776611328125,26.582685470581055,30.746536254882812,84.2653579711914,96.47222137451172,84.77574920654297,81.75052642822266,54.409751892089844,117.26000213623047,14.989607810974121
2015-01-12,167.82275390625,26.554115295410156,30.495983123779297,84.56194305419922,97.02426147460938,84.75326538085938,81.90607452392578,54.825191497802734,118.55999755859375,14.659887313842773
2015-01-13,167.35072326660156,26.682708740234375,30.762182235717773,84.63998413085938,97.02426147460938,84.61833953857422,81.98047637939453,54.742095947265625,118.16000366210938,14.600707054138184
2015-01-14,166.34039306640625,26.61125946044922,30.589929580688477,85.03020477294922,97.76030731201172,85.12061309814453,82.1224365234375,55.21508026123047,117.97000122070312,14.761340141296387
2015-01-15,164.81663513183594,26.761281967163086,30.660402297973633,85.75604248046875,99.29859924316406,85.79535675048828,82.54844665527344,55.34291076660156,120.94000244140625,14.55843448638916
2015-01-16,166.97808837890625,27.05417823791504,30.918773651123047,85.12386322021484,98.03265380859375,85.3155517578125,82.088623046875,55.82225799560547,122.5199966430664,14.837430000305176
2015-01-20,167.33413696289062,27.175628662109375,30.87179183959961,85.31897735595703,99.33537292480469,85.51798248291016,82.27799224853516,55.38125991821289,124.19999694824219,14.63452434539795
2015-01-21,168.1788787841797,27.37566566467285,31.552961349487305,84.91312408447266,98.18714141845703,85.16558074951172,82.24417877197266,55.34291076660156,124.2300033569336,14.727522850036621
2015-01-22,170.67987060546875,27.475683212280273,32.15584182739258,84.7024154663086,97.8338623046875,85.1881103515625,82.20360565185547,56.32718276977539,125.2300033569336,14.710614204406738
2015-01-23,169.74407958984375,27.311365127563477,31.913124084472656,85.25655364990234,99.19554138183594,85.70536041259766,82.68366241455078,56.167381286621094,124.2300033569336,14.617615699768066
