date,asset,is_live,is_tradeable,has_full_history_window
2015-09-30,SPY,True,True,True
2015-10-01,SPY,True,True,True
2015-10-02,SPY,True,True,True
2015-10-05,SPY,True,True,True
2015-10-06,SPY,True,True,True
2015-10-07,SPY,True,True,True
2015-10-08,SPY,True,True,True
2015-10-09,SPY,True,True,True
2015-10-12,SPY,True,True,True
2015-10-13,SPY,True,True,True
2015-10-14,SPY,True,True,True
2015-10-15,SPY,True,True,True
2015-10-16,SPY,True,True,True
2015-10-19,SPY,True,True,True
2015-10-20,SPY,True,True,True
2015-10-21,SPY,True,True,True
2015-10-22,SPY,True,True,True
2015-10-23,SPY,True,True,True
2015-10-26,SPY,True,True,True
2015-10-27,SPY,True,True,True
2015-10-28,SPY,True,True,True
2015-10-29,SPY,True,True,True
2015-10-30,SPY,True,True,True
2015-11-02,SPY,True,True,True
2015-11-03,SPY,True,True,True
2015-11-04,SPY,True,True,True
2015-11-05,SPY,True,True,True
2015-11-06,SPY,True,True,True
2015-11-09,SPY,True,True,True
2015-11-10,SPY,True,True,True
2015-11-11,SPY,True,True,True
2015-11-12,SPY,True,True,True
2015-11-13,SPY,True,True,True
2015-11-16,SPY,True,True,True
2015-11-17,SPY,True,True,True
2015-11-18,SPY,True,True,True
2015-11-19,SPY,True,True,True
2015-11-20,SPY,True,True,True
2015-11-23,SPY,True,True,True
2015-11-24,SPY,True,True,True
2015-11-25,SPY,True,True,True
2015-11-27,SPY,True,True,True
2015-11-30,SPY,True,True,True
2015-12-01,SPY,True,True,True
2015-12-02,SPY,True,True,True
2015-12-03,SPY,True,True,True
2015-12-04,SPY,True,True,True
2015-12-07,SPY,True,True,True
2015-12-08,SPY,True,True,True
2015-12-09,SPY,True,True,True
2015-12-10,SPY,True,True,True
2015-12-11,SPY,True,True,True
2015-12-14,SPY,True,True,True
2015-12-15,SPY,True,True,True
2015-12-16,SPY,True,True,True
2015-12-17,SPY,True,True,True
2015-12-18,SPY,True,True,True
2015-12-21,SPY,True,True,True
2015-12-22,SPY,True,True,True
2015-12-23,SPY,True,True,True
2015-12-24,SPY,True,True,True
2015-12-28,SPY,True,True,True
2015-12-29,SPY,True,True,True
2015-12-30,SPY,True,True,True
2015-12-31,SPY,True,True,True
2016-01-04,SPY,True,True,True
2016-01-05,SPY,True,True,True
2016-01-06,SPY,True,True,True
2016-01-07,SPY,True,True,True
2016-01-08,SPY,True,True,True
2016-01-11,SPY,True,True,True
2016-01-12,SPY,True,True,True
2016-01-13,SPY,True,True,True
2016-01-14,SPY,True,True,True
2016-01-15,SPY,True,True,True
2016-01-19,SPY,True,True,True
2016-01-20,SPY,True,True,True
2016-01-21,SPY,True,True,True
2016-01-22,SPY,True,True,True
2016-01-25,SPY,True,True,True
2016-01-26,SPY,True,True,True
2016-01-27,SPY,True,True,True
2016-01-28,SPY,True,True,True
2016-01-29,SPY,True,True,True
2016-02-01,SPY,True,True,True
2016-02-02,SPY,True,True,True
2016-02-03,SPY,True,True,True
2016-02-04,SPY,True,True,True
2016-02-05,SPY,True,True,True
2016-02-08,SPY,True,True,True
2016-02-09,SPY,True,True,True
2016-02-10,SPY,True,True,True
2016-02-11,SPY,True,True,True
2016-02-12,SPY,True,True,True
2016-02-16,SPY,True,True,True
2016-02-17,SPY,True,True,True
2016-02-18,SPY,True,True,True
2016-02-19,SPY,True,True,True
2016-02-22,SPY,True,True,True
2016-02-23,SPY,True,True,True
2016-02-24,SPY,True,True,True
2016-02-25,SPY,True,True,True
2016-02-26,SPY,True,True,True
2016-02-29,SPY,True,True,True
2016-03-01,SPY,True,True,True
2016-03-02,SPY,True,True,True
2016-03-03,SPY,True,True,True
2016-03-04,SPY,True,True,True
2016-03-07,SPY,True,True,True
2016-03-08,SPY,True,True,True
2016-03-09,SPY,True,True,True
2016-03-10,SPY,True,True,True
2016-03-11,SPY,True,True,True
2016-03-14,SPY,True,True,True
2016-03-15,SPY,True,True,True
2016-03-16,SPY,True,True,True
2016-03-17,SPY,True,True,True
2016-03-18,SPY,True,True,True
2016-03-21,SPY,True,True,True
2016-03-22,SPY,True,True,True
2016-03-23,SPY,True,True,True
2016-03-24,SPY,True,True,True
2016-03-28,SPY,True,True,True
2016-03-29,SPY,True,True,True
2016-03-30,SPY,True,True,True
2016-03-31,SPY,True,True,True
2016-04-01,SPY,True,True,True
2016-04-04,SPY,True,True,True
2016-04-05,SPY,True,True,True
2016-04-06,SPY,True,True,True
2016-04-07,SPY,True,True,True
2016-04-08,SPY,True,True,True
2016-04-11,SPY,True,True,True
