strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95,dr_mean,db_mean,active_rate
EW,0.05271731807271207,0.08609730409708784,0.6122992888751227,-0.19684002679871426,0.010860340339250731,0.02013674918533788,0.05403415160519905,0.7336555109406955,0.0
GMV,0.04365587725603093,0.05959815739840646,0.7325038081999193,-0.16261328981743128,0.009643476415113374,0.02878552803966686,0.09955564064873224,0.1775768102552052,0.0
ERC,0.04185221266075079,0.06878417199492089,0.6084570250237397,-0.18894689987355018,0.011640782871424718,0.016887772373074858,1.1710132456309855e-11,0.06619347279646419,0.0
CTB_ONLY,0.050585104015552274,0.07583497081651783,0.6670419131292682,-0.1957572003654191,0.018745130746643895,0.03193834674955487,0.08809104479900742,0.016052521316416,0.0
RB_CTB_BAND,0.04188993313896505,0.06879724225230455,0.6088897137088636,-0.18890297211685314,0.011871642735631268,0.017739767150378415,9.858662879785257e-06,0.06543643642590398,0.3741935483870968
