p,delta,gamma,eta,net_sharpe_val,avg_turnover_val,active_rate_val,convergence_rate_val,valid,reasons,score
0.4,0.049925114522081336,5.722535269618867e-11,9.313225746154785e-08,0.5587207333676051,0.03728026400151675,1.0,1.0,False,active_rate_too_high,0.5587207333676051
0.5,0.055393919194286476,5.722535269618867e-11,9.313225746154785e-08,0.5601423522226523,0.03588611291905922,1.0,1.0,False,active_rate_too_high|turnover_p95_median_pathology,0.5601423522226523
0.6,0.057042965323449976,5.722535269618867e-11,9.313225746154785e-08,0.5615092724629817,0.035637184619822,1.0,1.0,False,active_rate_too_high|turnover_p95_median_pathology,0.5615092724629817
0.7,0.06109774255836874,5.722535269618867e-11,9.313225746154785e-08,0.5665966439655744,0.03551670932621808,1.0,1.0,False,active_rate_too_high|turnover_p95_median_pathology,0.5665966439655744
0.8,0.06582505216923057,5.722535269618867e-11,9.313225746154785e-08,0.5754078515423293,0.035573343782549706,1.0,1.0,False,active_rate_too_high|turnover_p95_median_pathology,0.5754078515423293
