date,strategy,gross,net,nav,drawdown
2013-02-01,CTB_ONLY,-0.0024098210326180458,-0.002577631806100044,0.9974223681939,0.0
2013-02-01,ERC,-0.0021128955336703107,-0.002257771753181608,0.9977422282468184,0.0
2013-02-01,EW,0.0012183850137258091,0.0012183850137258091,1.0012183850137257,0.0
2013-02-01,GMV,-0.0021801830418974166,-0.0023830828715718805,0.9976169171284281,0.0
2013-02-01,RB_CTB_BAND,-0.00211292469753481,-0.0022578023170741067,0.9977421976829259,0.0
2013-02-04,CTB_ONLY,0.00364462377402162,0.00364462377402162,1.0010575974697602,0.0
2013-02-04,ERC,0.002858220892685342,0.002858220892685342,1.0005939959291077,0.0
2013-02-04,EW,-0.001664414409705495,-0.001664414409705495,0.9995519427064468,-0.0016644144097055502
2013-02-04,GMV,0.003466316685312235,0.003466316685312235,1.00107497329382,0.0
2013-02-04,RB_CTB_BAND,0.0028582457729175795,0.0028582457729175795,1.0005939901019147,0.0
2013-02-05,CTB_ONLY,-0.0018769354794169332,-0.0018769354794169332,0.9991786769481293,-0.001876935479416919
2013-02-05,ERC,-0.0019234231704067099,-0.0019234231704067099,0.9986694302531678,-0.001923423170406724
2013-02-05,EW,-4.3751156277127546e-05,-4.3751156277127546e-05,0.9995082111531943,-0.0017080927459277584
2013-02-05,GMV,-0.00137738485724777,-0.00137738485724777,0.9996961077846354,-0.0013773848572478098
2013-02-05,RB_CTB_BAND,-0.0019234339674718069,-0.0019234339674718069,0.9986694136337045,-0.0019234339674718548
2013-02-06,CTB_ONLY,0.003458965742475033,0.003458965742475033,1.0026348017623046,0.0
2013-02-06,ERC,0.0026327479606506068,0.0026327479606506068,1.001298675159031,0.0
2013-02-06,EW,0.0019340459180573922,0.0019340459180573922,1.0014413059290401,0.0
2013-02-06,GMV,0.0023783827790502658,0.0023783827790502658,1.0020737677916738,0.0
2013-02-06,RB_CTB_BAND,0.002632746375942579,0.002632746375942579,1.0012986569132134,0.0
2013-02-07,CTB_ONLY,-0.0015321948452410115,-0.0015321948452410115,1.001098569887385,-0.0015321948452410306
2013-02-07,ERC,-0.0016907791542897794,-0.0016907791542897794,0.999605700231854,-0.0016907791542898343
2013-02-07,EW,-0.003169953751113952,-0.003169953751113952,0.9982667833047899,-0.003169953751113952
2013-02-07,GMV,-0.0007849002979046866,-0.0007849002979046866,1.0012872397928116,-0.0007849002979046782
2013-02-07,RB_CTB_BAND,-0.001690772314150069,-0.001690772314150069,0.999605688865909,-0.0016907723141500464
2013-02-08,CTB_ONLY,0.0026792832871201755,0.0026792832871201755,1.0037807965544443,0.0
2013-02-08,ERC,0.002220716243897439,0.002220716243897439,1.0018255408478514,0.0
2013-02-08,EW,0.0037728436698549308,0.0037728436698549308,1.0020330878190078,0.0
2013-02-08,GMV,0.001638322629860876,0.001638322629860876,1.0029276713367552,0.0
2013-02-08,RB_CTB_BAND,0.0022207106775373768,0.0022207106775373768,1.0018255238925007,0.0
2013-02-11,CTB_ONLY,-0.001886740114069402,-0.001886740114069402,1.0018869230598524,-0.0018867401140695295
2013-02-11,ERC,-0.0016936287232025813,-0.0016936287232025813,1.0001288203362335,-0.001693628723202556
2013-02-11,EW,-0.001815678679366306,-0.001815678679366306,1.0002137177054353,-0.0018156786793662727
2013-02-11,GMV,-0.0014122924628729295,-0.0014122924628729295,1.0015112441457197,-0.0014122924628728883
2013-02-11,RB_CTB_BAND,-0.001693613307609001,-0.001693613307609001,1.000128818853334,-0.0016936133076090876
