date,asset,weight,strategy
2015-04-30,LQD,0.1,EW
2015-05-29,LQD,0.1,EW
2015-06-30,LQD,0.1,EW
2015-07-31,LQD,0.1,EW
2015-08-31,LQD,0.1,EW
2015-09-30,LQD,0.1,EW
2015-10-30,LQD,0.1,EW
2015-11-30,LQD,0.1,EW
2015-12-31,LQD,0.1,EW
2016-01-29,LQD,0.1,EW
2016-02-29,LQD,0.1,EW
2016-03-31,LQD,0.1,EW
2016-04-29,LQD,0.1,EW
2016-05-31,LQD,0.1,EW
2016-06-30,LQD,0.1,EW
2016-07-29,LQD,0.1,EW
2016-08-31,LQD,0.1,EW
2016-09-30,LQD,0.1,EW
2016-10-31,LQD,0.1,EW
2016-11-30,LQD,0.1,EW
2016-12-30,LQD,0.1,EW
2017-01-31,LQD,0.1,EW
2017-02-28,LQD,0.1,EW
2017-03-31,LQD,0.1,EW
2017-04-28,LQD,0.1,EW
2017-05-31,LQD,0.1,EW
2017-06-30,LQD,0.1,EW
2017-07-31,LQD,0.1,EW
2017-08-31,LQD,0.1,EW
2017-09-29,LQD,0.1,EW
2017-10-31,LQD,0.1,EW
2017-11-30,LQD,0.1,EW
2017-12-29,LQD,0.1,EW
2018-01-31,LQD,0.1,EW
2018-02-28,LQD,0.1,EW
2018-03-29,LQD,0.1,EW
2018-04-30,LQD,0.1,EW
2018-05-31,LQD,0.1,EW
2018-06-29,LQD,0.1,EW
2018-07-31,LQD,0.1,EW
2018-08-31,LQD,0.1,EW
2018-09-28,LQD,0.1,EW
2018-10-31,LQD,0.1,EW
2018-11-30,LQD,0.1,EW
2018-12-31,LQD,0.1,EW
2019-01-31,LQD,0.1,EW
2019-02-28,LQD,0.1,EW
2019-03-29,LQD,0.1,EW
2019-04-30,LQD,0.1,EW
2019-05-31,LQD,0.1,EW
2019-06-28,LQD,0.1,EW
2019-07-31,LQD,0.1,EW
2019-08-30,LQD,0.1,EW
2019-09-30,LQD,0.1,EW
2019-10-31,LQD,0.1,EW
2019-11-29,LQD,0.1,EW
2019-12-31,LQD,0.1,EW
2020-01-31,LQD,0.1,EW
2020-02-28,LQD,0.1,EW
2020-03-31,LQD,0.1,EW
2020-04-30,LQD,0.1,EW
2020-05-29,LQD,0.1,EW
2020-06-30,LQD,0.1,EW
2020-07-31,LQD,0.1,EW
2020-08-31,LQD,0.1,EW
2020-09-30,LQD,0.1,EW
2020-10-30,LQD,0.1,EW
2020-11-30,LQD,0.1,EW
2020-12-31,LQD,0.1,EW
2021-01-29,LQD,0.1,EW
2021-02-26,LQD,0.1,EW
2021-03-31,LQD,0.1,EW
2021-04-30,LQD,0.1,EW
2021-05-28,LQD,0.1,EW
2021-06-30,LQD,0.1,EW
2021-07-30,LQD,0.1,EW
2021-08-31,LQD,0.1,EW
2021-09-30,LQD,0.1,EW
2021-10-29,LQD,0.1,EW
2021-11-30,LQD,0.1,EW
2021-12-31,LQD,0.1,EW
2022-01-31,LQD,0.1,EW
2022-02-28,LQD,0.1,EW
2022-03-31,LQD,0.1,EW
2022-04-29,LQD,0.1,EW
