date,asset,ctr,strategy
2013-01-31,DBC,0.11098181301730307,EW
2013-02-28,DBC,0.11118418198810022,EW
2013-03-28,DBC,0.1106868642267176,EW
2013-04-30,DBC,0.11086819609830578,EW
2013-05-31,DBC,0.11069883207660028,EW
2013-06-28,DBC,0.11014159798745003,EW
2013-07-31,DBC,0.11011021611715276,EW
2013-08-30,DBC,0.10964780275400503,EW
2013-09-30,DBC,0.11002117586488169,EW
2013-10-31,DBC,0.11316484400220395,EW
2013-11-29,DBC,0.11787999932325342,EW
2013-12-31,DBC,0.12328899294522191,EW
2014-01-31,DBC,0.12296641491424053,EW
2014-02-28,DBC,0.12533936747648353,EW
2014-03-31,DBC,0.13179173189519383,EW
2014-04-30,DBC,0.13330884721080943,EW
2014-05-30,DBC,0.13569809976035938,EW
2014-06-30,DBC,0.13507120178113838,EW
2014-07-31,DBC,0.1348581721879162,EW
2014-08-29,DBC,0.133302382969383,EW
2014-09-30,DBC,0.13271312232342508,EW
2014-10-31,DBC,0.13226703061102413,EW
2014-11-28,DBC,0.13151238479628513,EW
2014-12-31,DBC,0.1321013674790467,EW
2015-01-30,DBC,0.13139933338819268,EW
2015-02-27,DBC,0.1294189535980891,EW
2015-03-31,DBC,0.12881510427242907,EW
2015-04-30,DBC,0.12831555901001132,EW
2015-05-29,DBC,0.12749808918854943,EW
2015-06-30,DBC,0.12612562942582659,EW
2015-07-31,DBC,0.12617687145828005,EW
2015-08-31,DBC,0.12599874276372855,EW
2015-09-30,DBC,0.1268105970838002,EW
2015-10-30,DBC,0.1252106005183924,EW
2015-11-30,DBC,0.12384170115848706,EW
2015-12-31,DBC,0.12392287016983636,EW
2016-01-29,DBC,0.1252065937069304,EW
2016-02-29,DBC,0.12640656081394105,EW
2016-03-31,DBC,0.12559061399716584,EW
2016-04-29,DBC,0.12607231617595435,EW
2016-05-31,DBC,0.12279408887590812,EW
2016-06-30,DBC,0.12332423552620836,EW
2016-07-29,DBC,0.12301311796669116,EW
2016-08-31,DBC,0.12600254928052027,EW
2016-09-30,DBC,0.12425186617324344,EW
2016-10-31,DBC,0.12197342026037022,EW
2016-11-30,DBC,0.12127270944850548,EW
2016-12-30,DBC,0.12105092431206084,EW
2017-01-31,DBC,0.12041724716389895,EW
2017-02-28,DBC,0.12028025830807344,EW
2017-03-31,DBC,0.12044126137814505,EW
2017-04-28,DBC,0.12004949552077968,EW
2017-05-31,DBC,0.12077337964078945,EW
2017-06-30,DBC,0.11904792272117293,EW
2017-07-31,DBC,0.11524174431931146,EW
2017-08-31,DBC,0.11494828455030281,EW
2017-09-29,DBC,0.11559877573993677,EW
2017-10-31,DBC,0.11490055246861697,EW
2017-11-30,DBC,0.11458593084465009,EW
2017-12-29,DBC,0.11452010436952113,EW
2018-01-31,DBC,0.11434031511722577,EW
2018-02-28,DBC,0.11236780198752065,EW
2018-03-29,DBC,0.1118389192880214,EW
2018-04-30,DBC,0.1109783128835026,EW
2018-05-31,DBC,0.11091556015246219,EW
2018-06-29,DBC,0.11442702855759579,EW
2018-07-31,DBC,0.1191089823742017,EW
2018-08-31,DBC,0.12151681806437808,EW
2018-09-28,DBC,0.12283344720511308,EW
2018-10-31,DBC,0.12379377182745652,EW
2018-11-30,DBC,0.12563794593139643,EW
2018-12-31,DBC,0.12764231148415955,EW
2019-01-31,DBC,0.12896592506975602,EW
2019-02-28,DBC,0.12858967662077883,EW
2019-03-29,DBC,0.12944398960974512,EW
2019-04-30,DBC,0.12902807098412833,EW
2019-05-31,DBC,0.1292552085160168,EW
2019-06-28,DBC,0.12933305636497247,EW
2019-07-31,DBC,0.12868447921744056,EW
2019-08-30,DBC,0.1286357093395071,EW
2019-09-30,DBC,0.12952847214096272,EW
2019-10-31,DBC,0.12967420889644138,EW
2019-11-29,DBC,0.12932609982913376,EW
2019-12-31,DBC,0.12775398784227954,EW
2020-01-31,DBC,0.12838203635733017,EW
2020-02-28,DBC,0.12923450808407475,EW
2020-03-31,DBC,0.11115818814667748,EW
2020-04-30,DBC,0.10820575626876916,EW
2020-05-29,DBC,0.10980386666918726,EW
2020-06-30,DBC,0.1112567552176394,EW
2020-07-31,DBC,0.11082031409572148,EW
2020-08-31,DBC,0.11034194457747774,EW
2020-09-30,DBC,0.10954271167161933,EW
2020-10-30,DBC,0.10990080061167752,EW
2020-11-30,DBC,0.10966912698149431,EW
2020-12-31,DBC,0.10939225992774543,EW
2021-01-29,DBC,0.1082514944691056,EW
2021-02-26,DBC,0.1063062435035424,EW
2021-03-31,DBC,0.10751329528048058,EW
2021-04-30,DBC,0.1065639955705578,EW
2021-05-28,DBC,0.10540416925974973,EW
2021-06-30,DBC,0.10510426214772811,EW
2021-07-30,DBC,0.10522783625437859,EW
2021-08-31,DBC,0.10621277528829137,EW
2021-09-30,DBC,0.10644992871742008,EW
2021-10-29,DBC,0.1068958032442506,EW
2021-11-30,DBC,0.10870668842665455,EW
2021-12-31,DBC,0.11094934110081632,EW
2022-01-31,DBC,0.10989823770063488,EW
2022-02-28,DBC,0.10825012490257759,EW
2022-03-31,DBC,0.1087900203934899,EW
2022-04-29,DBC,0.10879501880314998,EW
2022-05-31,DBC,0.10858530641527225,EW
2022-06-30,DBC,0.10597776228151283,EW
2022-07-29,DBC,0.10823066667319742,EW
2022-08-31,DBC,0.1063507582124793,EW
2022-09-30,DBC,0.10640925469407608,EW
2022-10-31,DBC,0.10494680756037396,EW
2022-11-30,DBC,0.10320046818746316,EW
2022-12-30,DBC,0.1034139543380014,EW
