date,asset,ctb,strategy
2013-01-31,DBC,0.6655307746687477,EW
2013-02-28,DBC,0.669871694538773,EW
2013-03-28,DBC,0.672212724072234,EW
2013-04-30,DBC,0.6755780481099323,EW
2013-05-31,DBC,0.6790831409159489,EW
2013-06-28,DBC,0.6851961348327061,EW
2013-07-31,DBC,0.6946556043139085,EW
2013-08-30,DBC,0.7002200685529963,EW
2013-09-30,DBC,0.7047545478721126,EW
2013-10-31,DBC,0.6867095183900369,EW
2013-11-29,DBC,0.6921348308560199,EW
2013-12-31,DBC,0.7083661757651385,EW
2014-01-31,DBC,0.7079734464016583,EW
2014-02-28,DBC,0.7158267290692456,EW
2014-03-31,DBC,0.7333567962542669,EW
2014-04-30,DBC,0.7274337083057345,EW
2014-05-30,DBC,0.728504125221485,EW
2014-06-30,DBC,0.7244837984103712,EW
2014-07-31,DBC,0.7234132280894422,EW
2014-08-29,DBC,0.7195306138747523,EW
2014-09-30,DBC,0.7182762884977162,EW
2014-10-31,DBC,0.7149525862506019,EW
2014-11-28,DBC,0.7084277883645367,EW
2014-12-31,DBC,0.7017751904995259,EW
2015-01-30,DBC,0.6938018972447606,EW
2015-02-27,DBC,0.6789027819328434,EW
2015-03-31,DBC,0.6778599367759194,EW
2015-04-30,DBC,0.673805697610656,EW
2015-05-29,DBC,0.662621202210706,EW
2015-06-30,DBC,0.6513994739299367,EW
2015-07-31,DBC,0.6425251403750091,EW
2015-08-31,DBC,0.640371038182724,EW
2015-09-30,DBC,0.641532633977683,EW
2015-10-30,DBC,0.6349791432388485,EW
2015-11-30,DBC,0.6267678357211951,EW
2015-12-31,DBC,0.6263204952486664,EW
2016-01-29,DBC,0.6306363737121564,EW
2016-02-29,DBC,0.6368412556626052,EW
2016-03-31,DBC,0.6360786441949938,EW
2016-04-29,DBC,0.6359813202052398,EW
2016-05-31,DBC,0.6329868537928985,EW
2016-06-30,DBC,0.6344359843417462,EW
2016-07-29,DBC,0.6296570546616244,EW
2016-08-31,DBC,0.6233949551214,EW
2016-09-30,DBC,0.6130529789738682,EW
2016-10-31,DBC,0.5970200990807895,EW
2016-11-30,DBC,0.5812424523400586,EW
2016-12-30,DBC,0.5700760973507334,EW
2017-01-31,DBC,0.5666688888748098,EW
2017-02-28,DBC,0.5659696278379327,EW
2017-03-31,DBC,0.5646312138018577,EW
2017-04-28,DBC,0.5602039723007386,EW
2017-05-31,DBC,0.5585800278277276,EW
2017-06-30,DBC,0.5501186548988982,EW
2017-07-31,DBC,0.5350470834484394,EW
2017-08-31,DBC,0.5315275017529942,EW
2017-09-29,DBC,0.532213918255309,EW
2017-10-31,DBC,0.5302675783976846,EW
2017-11-30,DBC,0.5285228458276241,EW
2017-12-29,DBC,0.5278019827006578,EW
2018-01-31,DBC,0.527013056254724,EW
2018-02-28,DBC,0.5266211403567079,EW
2018-03-29,DBC,0.52546835750544,EW
2018-04-30,DBC,0.5201061900810855,EW
2018-05-31,DBC,0.5196156699409167,EW
2018-06-29,DBC,0.5175738647834225,EW
2018-07-31,DBC,0.5273087132215558,EW
2018-08-31,DBC,0.5349374441973284,EW
2018-09-28,DBC,0.5329560080526901,EW
2018-10-31,DBC,0.5356226573322624,EW
2018-11-30,DBC,0.5380713429346985,EW
2018-12-31,DBC,0.542970280175286,EW
2019-01-31,DBC,0.5474674187667301,EW
2019-02-28,DBC,0.5446435553244279,EW
2019-03-29,DBC,0.5479796346052671,EW
2019-04-30,DBC,0.5467796539096581,EW
2019-05-31,DBC,0.5471332873017009,EW
2019-06-28,DBC,0.5454935250789972,EW
2019-07-31,DBC,0.5427117003392786,EW
2019-08-30,DBC,0.5405941636066919,EW
2019-09-30,DBC,0.5376972988210225,EW
2019-10-31,DBC,0.5386008697125126,EW
2019-11-29,DBC,0.536457953523706,EW
2019-12-31,DBC,0.5353923952712819,EW
2020-01-31,DBC,0.5393897357949745,EW
2020-02-28,DBC,0.5483057847672242,EW
2020-03-31,DBC,0.5671267916218331,EW
2020-04-30,DBC,0.5634623168601631,EW
2020-05-29,DBC,0.5708935128749035,EW
2020-06-30,DBC,0.5824415674351947,EW
2020-07-31,DBC,0.5852464765247275,EW
2020-08-31,DBC,0.5841818267660323,EW
2020-09-30,DBC,0.5844905337406591,EW
2020-10-30,DBC,0.5853305261099558,EW
2020-11-30,DBC,0.5853768280831032,EW
2020-12-31,DBC,0.5860119747271241,EW
2021-01-29,DBC,0.5819737405255003,EW
2021-02-26,DBC,0.5758116539303582,EW
2021-03-31,DBC,0.5737036748373143,EW
2021-04-30,DBC,0.5720199738434073,EW
2021-05-28,DBC,0.5673794930207442,EW
2021-06-30,DBC,0.5663745691141323,EW
2021-07-30,DBC,0.5637020906468372,EW
2021-08-31,DBC,0.5648920720005443,EW
2021-09-30,DBC,0.5632921650503364,EW
2021-10-29,DBC,0.5630190147449152,EW
2021-11-30,DBC,0.565279494091056,EW
2021-12-31,DBC,0.5762474191113439,EW
2022-01-31,DBC,0.5726863075822525,EW
2022-02-28,DBC,0.5657773734308224,EW
2022-03-31,DBC,0.5378073594752771,EW
2022-04-29,DBC,0.5379087367751357,EW
2022-05-31,DBC,0.5411320343027073,EW
2022-06-30,DBC,0.5351351069448091,EW
2022-07-29,DBC,0.5353330081798945,EW
2022-08-31,DBC,0.5274602200508245,EW
2022-09-30,DBC,0.5330057312940392,EW
2022-10-31,DBC,0.5320095326828669,EW
2022-11-30,DBC,0.5304992703841115,EW
2022-12-30,DBC,0.5344458296674907,EW
2023-01-31,DBC,0.5303039310396366,EW
2023-02-28,DBC,0.5287143274464398,EW
2023-03-31,DBC,0.5282639420853814,EW
2023-04-28,DBC,0.5279680842273932,EW
2023-05-31,DBC,0.5289865756689703,EW
2023-06-30,DBC,0.5290007100101697,EW
2023-07-31,DBC,0.5275012256590971,EW
