date,strategy,dr,db,band_active
2013-01-31,EW,0.10808200563711855,1.918248694598434,False
2013-02-28,EW,0.10804067269428067,1.9246286417055078,False
2013-03-28,EW,0.10740521667231231,1.9031156080327685,False
2013-04-30,EW,0.10663404024398616,1.9007681365621243,False
2013-05-31,EW,0.1068202914177033,1.9030414509753952,False
2013-06-28,EW,0.10530140343703309,1.8706894084863932,False
2013-07-31,EW,0.10355145842578106,1.838716447876677,False
2013-08-30,EW,0.1026712508816577,1.8161921741051774,False
2013-09-30,EW,0.10019532216124671,1.7465499566305611,False
2013-10-31,EW,0.10124180238749843,1.6629503867041548,False
2013-11-29,EW,0.09547792759201462,1.5022944447933564,False
2013-12-31,EW,0.09099956006313936,1.4644668676789343,False
2014-01-31,EW,0.08859971994405241,1.4124670815112965,False
2014-02-28,EW,0.08650393656584673,1.4135784810597232,False
2014-03-31,EW,0.0852210183019162,1.4431642845431476,False
2014-04-30,EW,0.08164427682597371,1.393696500729085,False
2014-05-30,EW,0.08118382048988575,1.3966375032714307,False
2014-06-30,EW,0.08233508539670896,1.4168733655836405,False
2014-07-31,EW,0.08119646893496632,1.3855719235640656,False
2014-08-29,EW,0.08097020677573444,1.3792811171185444,False
2014-09-30,EW,0.08057364987395027,1.364718163042304,False
2014-10-31,EW,0.08110216062079106,1.3615991184961358,False
2014-11-28,EW,0.08009472884630443,1.326842477125472,False
2014-12-31,EW,0.07996708245623908,1.313900980127295,False
2015-01-30,EW,0.07989687474222301,1.293694454166586,False
2015-02-27,EW,0.07865814281568465,1.235557646949094,False
2015-03-31,EW,0.07641660933245868,1.1896077260852471,False
2015-04-30,EW,0.07493191363266274,1.1558674094122188,False
2015-05-29,EW,0.06936563839276738,1.0394530785301679,False
2015-06-30,EW,0.06569721212689017,0.9588186720281933,False
2015-07-31,EW,0.06490292075328694,0.9272792963883293,False
2015-08-31,EW,0.06484731206142635,0.9231098531522701,False
2015-09-30,EW,0.0654143297472583,0.9365767557983443,False
2015-10-30,EW,0.06664186453882771,0.946206556239982,False
2015-11-30,EW,0.06853105406158536,0.969593106392554,False
2015-12-31,EW,0.06918052461285414,0.989607500120178,False
2016-01-29,EW,0.07133721414548039,1.029829570890895,False
2016-02-29,EW,0.07133536838313292,1.0312341034445254,False
2016-03-31,EW,0.07053420800687828,1.0146784697819933,False
2016-04-29,EW,0.07075666283272215,1.0160890091919785,False
2016-05-31,EW,0.07048611052056067,0.9970974525125489,False
2016-06-30,EW,0.07076081710584473,0.9853052457742705,False
2016-07-29,EW,0.07040808870800597,0.9763913430799658,False
2016-08-31,EW,0.06335042630978754,0.8495161479427518,False
2016-09-30,EW,0.058855384883602736,0.7669626031940617,False
2016-10-31,EW,0.05436121365272231,0.6699291161140163,False
2016-11-30,EW,0.04809433164783355,0.5276742834388102,False
2016-12-30,EW,0.044092716331274304,0.447881057458376,False
2017-01-31,EW,0.04271179211006164,0.4215561345397211,False
2017-02-28,EW,0.042088168641559176,0.41066960145244874,False
2017-03-31,EW,0.041275928914836044,0.39602684273317645,False
2017-04-28,EW,0.04044829206582067,0.378306518469588,False
2017-05-31,EW,0.03936182216851681,0.357552536741877,False
2017-06-30,EW,0.03738808735615027,0.3238527990284265,False
2017-07-31,EW,0.03590288539801021,0.2970252629986353,False
2017-08-31,EW,0.03543579593556329,0.28806091069170026,False
2017-09-29,EW,0.034595346451554536,0.27453421612498996,False
2017-10-31,EW,0.03389287577065185,0.261705292266531,False
2017-11-30,EW,0.03333414816263856,0.24931847046915304,False
2017-12-29,EW,0.03320178604902029,0.2466302317844087,False
2018-01-31,EW,0.033067779714523196,0.24184924395705096,False
2018-02-28,EW,0.033975987953542265,0.25210508751461974,False
2018-03-29,EW,0.034700071268654896,0.2609137985835446,False
2018-04-30,EW,0.034690111786865874,0.25204448480072134,False
2018-05-31,EW,0.035101999231757344,0.25445688084347445,False
2018-06-29,EW,0.03640805681730394,0.2619687089608505,False
2018-07-31,EW,0.03814170399390016,0.28586114727687845,False
2018-08-31,EW,0.039536706743091385,0.3022721022268262,False
2018-09-28,EW,0.04085803167746133,0.31666514998133644,False
2018-10-31,EW,0.04258526198425747,0.33433979395457225,False
2018-11-30,EW,0.04432580071763493,0.35582778876459253,False
2018-12-31,EW,0.046168968559762505,0.3877878419205746,False
2019-01-31,EW,0.04680789241078725,0.4008941356905383,False
2019-02-28,EW,0.045875567785149785,0.3872250735287732,False
2019-03-29,EW,0.04625302645297585,0.3942309276640473,False
2019-04-30,EW,0.045829310714508145,0.3885080136697295,False
2019-05-31,EW,0.04656752024671519,0.3996642821675013,False
2019-06-28,EW,0.046197975396402614,0.3939483423056339,False
2019-07-31,EW,0.04552478229473296,0.38703331884240866,False
2019-08-30,EW,0.0467685520782118,0.4076560344299332,False
2019-09-30,EW,0.04560073817927639,0.3931983415948431,False
2019-10-31,EW,0.044928605280312915,0.3846724997860864,False
2019-11-29,EW,0.04494778809085804,0.3865001342686605,False
2019-12-31,EW,0.04463411939192929,0.37770009258049153,False
2020-01-31,EW,0.044498043980024375,0.3709076815236431,False
2020-02-28,EW,0.046998876385478325,0.416177506082553,False
2020-03-31,EW,0.05730897266825219,0.7685893776722568,False
2020-04-30,EW,0.05970337066445634,0.8327534945437388,False
2020-05-29,EW,0.061571322885352206,0.8712613239390734,False
2020-06-30,EW,0.06380909812415872,0.9231839463623194,False
2020-07-31,EW,0.06344829229644615,0.9195905456290401,False
2020-08-31,EW,0.061296865429185776,0.8884070486884355,False
2020-09-30,EW,0.060353868176475596,0.873806605566696,False
2020-10-30,EW,0.060297950267423066,0.8786346612500652,False
2020-11-30,EW,0.060382088977031394,0.88157203138812,False
2020-12-31,EW,0.06073599593027301,0.8870272246467663,False
2021-01-29,EW,0.05937610556593106,0.8610213128644019,False
2021-02-26,EW,0.058029231035195035,0.8337657854387229,False
2021-03-31,EW,0.05714710340875117,0.8171700231099844,False
2021-04-30,EW,0.056383543017807285,0.802091481807645,False
2021-05-28,EW,0.0559954890538828,0.7931819340366133,False
2021-06-30,EW,0.05491948874112131,0.7820146251194342,False
2021-07-30,EW,0.05544813171494608,0.7923337871495264,False
2021-08-31,EW,0.055268917464186225,0.7932016309538734,False
2021-09-30,EW,0.05543506207437716,0.7987622380779342,False
2021-10-29,EW,0.05550873524956629,0.7998945913013003,False
2021-11-30,EW,0.05610127960786031,0.8237291455434006,False
2021-12-31,EW,0.05692218692119082,0.8493077681987174,False
2022-01-31,EW,0.05698203542924496,0.8465799336690801,False
2022-02-28,EW,0.05687771319054552,0.8351503745920265,False
2022-03-31,EW,0.05581056356677087,0.7983578140093781,False
2022-04-29,EW,0.054933431463792676,0.7825234384961443,False
2022-05-31,EW,0.054668098001961714,0.7757334991383882,False
2022-06-30,EW,0.05292970091355248,0.7339243270305396,False
2022-07-29,EW,0.05216370555069953,0.7268634791026927,False
2022-08-31,EW,0.050853387811148315,0.7012026074789377,False
2022-09-30,EW,0.04820339337577705,0.6518966690502687,False
2022-10-31,EW,0.04698786213141687,0.6250106508437107,False
2022-11-30,EW,0.04540006656545825,0.5969211279414092,False
