date,strategy,obj_total,dr_term,smooth_term,l2_term,band_penalty
2019-08-30,EW,0.0,0.0467685520782118,0.0,0.0,0.0
2019-09-30,EW,0.0,0.04560073817927639,0.0,0.0,0.0
2019-10-31,EW,0.0,0.044928605280312915,0.0,0.0,0.0
2019-11-29,EW,0.0,0.04494778809085804,0.0,0.0,0.0
2019-12-31,EW,0.0,0.04463411939192929,0.0,0.0,0.0
2020-01-31,EW,0.0,0.044498043980024375,0.0,0.0,0.0
2020-02-28,EW,0.0,0.046998876385478325,0.0,0.0,0.0
2020-03-31,EW,0.0,0.05730897266825219,0.0,0.0,0.0
2020-04-30,EW,0.0,0.05970337066445634,0.0,0.0,0.0
2020-05-29,EW,0.0,0.061571322885352206,0.0,0.0,0.0
2020-06-30,EW,0.0,0.06380909812415872,0.0,0.0,0.0
2020-07-31,EW,0.0,0.06344829229644615,0.0,0.0,0.0
2020-08-31,EW,0.0,0.061296865429185776,0.0,0.0,0.0
2020-09-30,EW,0.0,0.060353868176475596,0.0,0.0,0.0
2020-10-30,EW,0.0,0.060297950267423066,0.0,0.0,0.0
2020-11-30,EW,0.0,0.060382088977031394,0.0,0.0,0.0
2020-12-31,EW,0.0,0.06073599593027301,0.0,0.0,0.0
2021-01-29,EW,0.0,0.05937610556593106,0.0,0.0,0.0
2021-02-26,EW,0.0,0.058029231035195035,0.0,0.0,0.0
2021-03-31,EW,0.0,0.05714710340875117,0.0,0.0,0.0
2021-04-30,EW,0.0,0.056383543017807285,0.0,0.0,0.0
2021-05-28,EW,0.0,0.0559954890538828,0.0,0.0,0.0
2021-06-30,EW,0.0,0.05491948874112131,0.0,0.0,0.0
2021-07-30,EW,0.0,0.05544813171494608,0.0,0.0,0.0
2021-08-31,EW,0.0,0.055268917464186225,0.0,0.0,0.0
2021-09-30,EW,0.0,0.05543506207437716,0.0,0.0,0.0
2021-10-29,EW,0.0,0.05550873524956629,0.0,0.0,0.0
2021-11-30,EW,0.0,0.05610127960786031,0.0,0.0,0.0
2021-12-31,EW,0.0,0.05692218692119082,0.0,0.0,0.0
2022-01-31,EW,0.0,0.05698203542924496,0.0,0.0,0.0
2022-02-28,EW,0.0,0.05687771319054552,0.0,0.0,0.0
2022-03-31,EW,0.0,0.05581056356677087,0.0,0.0,0.0
2022-04-29,EW,0.0,0.054933431463792676,0.0,0.0,0.0
2022-05-31,EW,0.0,0.054668098001961714,0.0,0.0,0.0
2022-06-30,EW,0.0,0.05292970091355248,0.0,0.0,0.0
2022-07-29,EW,0.0,0.05216370555069953,0.0,0.0,0.0
2022-08-31,EW,0.0,0.050853387811148315,0.0,0.0,0.0
2022-09-30,EW,0.0,0.04820339337577705,0.0,0.0,0.0
2022-10-31,EW,0.0,0.04698786213141687,0.0,0.0,0.0
2022-11-30,EW,0.0,0.04540006656545825,0.0,0.0,0.0
2022-12-30,EW,0.0,0.04425381026149933,0.0,0.0,0.0
2023-01-31,EW,0.0,0.04354212993490256,0.0,0.0,0.0
2023-02-28,EW,0.0,0.04215045646303888,0.0,0.0,0.0
2023-03-31,EW,0.0,0.04118177929906056,0.0,0.0,0.0
2023-04-28,EW,0.0,0.04085545751585163,0.0,0.0,0.0
2023-05-31,EW,0.0,0.040574207854286344,0.0,0.0,0.0
2023-06-30,EW,0.0,0.04016728932108478,0.0,0.0,0.0
2023-07-31,EW,0.0,0.039366098947326934,0.0,0.0,0.0
2023-08-31,EW,0.0,0.038593279406709285,0.0,0.0,0.0
2023-09-29,EW,0.0,0.038307795557711515,0.0,0.0,0.0
2023-10-31,EW,0.0,0.03690051584542374,0.0,0.0,0.0
2023-11-30,EW,0.0,0.036014282633539764,0.0,0.0,0.0
2023-12-29,EW,0.0,0.03439645506558363,0.0,0.0,0.0
2024-01-31,EW,0.0,0.03384849121049265,0.0,0.0,0.0
2024-02-29,EW,0.0,0.033539798267668335,0.0,0.0,0.0
2024-03-28,EW,0.0,0.03341683682874199,0.0,0.0,0.0
2024-04-30,EW,0.0,0.03332149676850776,0.0,0.0,0.0
2024-05-31,EW,0.0,0.03271523896948114,0.0,0.0,0.0
2024-06-28,EW,0.0,0.032451855653429146,0.0,0.0,0.0
2024-07-31,EW,0.0,0.032266571335906664,0.0,0.0,0.0
2024-08-30,EW,0.0,0.031797164124194296,0.0,0.0,0.0
2024-09-30,EW,0.0,0.03220918151319908,0.0,0.0,0.0
2024-10-31,EW,0.0,0.03197318384950884,0.0,0.0,0.0
2024-11-29,EW,0.0,0.03155893085278476,0.0,0.0,0.0
2024-12-31,EW,0.0,0.03150591303064944,0.0,0.0,0.0
2025-01-31,EW,0.0,0.03138311486474114,0.0,0.0,0.0
2025-02-28,EW,0.0,0.030851270253482773,0.0,0.0,0.0
2025-03-31,EW,0.0,0.021641111701151905,0.0,0.0,0.0
2025-04-30,EW,0.0,0.01983074622170366,0.0,0.0,0.0
2025-05-30,EW,0.0,0.018826819496376178,0.0,0.0,0.0
2025-06-30,EW,0.0,0.01732784041093844,0.0,0.0,0.0
2025-07-31,EW,0.0,0.016734675325147698,0.0,0.0,0.0
2025-08-29,EW,0.0,0.01685717106513212,0.0,0.0,0.0
2025-09-30,EW,0.0,0.016372312709176308,0.0,0.0,0.0
2025-10-31,EW,0.0,0.016164802752822182,0.0,0.0,0.0
2025-11-28,EW,0.0,0.01584210206794629,0.0,0.0,0.0
2013-01-31,GMV,1.741901719554254e-05,0.06563075024250137,0.0,0.0,0.0
2013-02-28,GMV,1.71847628905043e-05,0.06710810725591486,0.0,0.0,0.0
2013-03-28,GMV,1.6973327413374517e-05,0.06659263044863592,0.0,0.0,0.0
2013-04-30,GMV,1.692997563748335e-05,0.06902463939688425,0.0,0.0,0.0
2013-05-31,GMV,1.6899591483843358e-05,0.0701945322782192,0.0,0.0,0.0
2013-06-28,GMV,1.7170898350304302e-05,0.07168570108992363,0.0,0.0,0.0
2013-07-31,GMV,1.733143487909848e-05,0.07048122609616603,0.0,0.0,0.0
2013-08-30,GMV,1.7474216291773963e-05,0.06970103682616487,0.0,0.0,0.0
2013-09-30,GMV,1.7390907588512297e-05,0.06954400387104206,0.0,0.0,0.0
2013-10-31,GMV,1.3328800259632654e-05,0.0904391378316868,0.0,0.0,0.0
2013-11-29,GMV,1.2677529978876623e-05,0.09359467829663248,0.0,0.0,0.0
2013-12-31,GMV,1.1700000372801661e-05,0.09343492377737866,0.0,0.0,0.0
2014-01-31,GMV,1.127178963701464e-05,0.0933213729557563,0.0,0.0,0.0
2014-02-28,GMV,1.0930692785362657e-05,0.09385628070914598,0.0,0.0,0.0
2014-03-31,GMV,9.691042693511211e-06,0.09284502482595419,0.0,0.0,0.0
2014-04-30,GMV,9.410546370739474e-06,0.09342112882843501,0.0,0.0,0.0
2014-05-30,GMV,8.993624296249889e-06,0.10424781945332101,0.0,0.0,0.0
2014-06-30,GMV,8.57006796862904e-06,0.10546106010355161,0.0,0.0,0.0
2014-07-31,GMV,8.436565781418271e-06,0.10474505847635873,0.0,0.0,0.0
2014-08-29,GMV,8.259553121031309e-06,0.10740834580128891,0.0,0.0,0.0
2014-09-30,GMV,8.218284739291588e-06,0.10831208693566871,0.0,0.0,0.0
2014-10-31,GMV,8.030180172482483e-06,0.11014000595908202,0.0,0.0,0.0
2014-11-28,GMV,7.947451975638294e-06,0.11245459325368443,0.0,0.0,0.0
2014-12-31,GMV,7.926154622603094e-06,0.11342248739666191,0.0,0.0,0.0
2015-01-30,GMV,7.885613811490413e-06,0.10808738628184611,0.0,0.0,0.0
2015-02-27,GMV,7.901768897902892e-06,0.11458593838664899,0.0,0.0,0.0
2015-03-31,GMV,8.18473530859309e-06,0.11331921928326258,0.0,0.0,0.0
2015-04-30,GMV,8.223271190707859e-06,0.11313746411339115,0.0,0.0,0.0
2015-05-29,GMV,8.244748610441753e-06,0.1162733676249241,0.0,0.0,0.0
2015-06-30,GMV,8.283265457277777e-06,0.11609686260786581,0.0,0.0,0.0
2015-07-31,GMV,8.17038656846621e-06,0.12370886372336024,0.0,0.0,0.0
2015-08-31,GMV,8.315308786416232e-06,0.11842727873535519,0.0,0.0,0.0
2015-09-30,GMV,8.30009635124206e-06,0.11578529825716563,0.0,0.0,0.0
2015-10-30,GMV,8.208184639673495e-06,0.1237290038410144,0.0,0.0,0.0
2015-11-30,GMV,7.921637866661745e-06,0.12639378418147532,0.0,0.0,0.0
