date,strategy,asset,weight,ctr,ctb,dr,db,band_active,turnover,converged,solver_status,nit
2013-01-31,EW,DBC,0.1,0.11098181301730307,0.6655307746687477,0.10808200563711855,1.918248694598434,False,0.0,True,equal_weight,0
2013-02-28,EW,DBC,0.1,0.11118418198810022,0.669871694538773,0.10804067269428067,1.9246286417055078,False,0.010461519851395013,True,equal_weight,0
2013-03-28,EW,DBC,0.1,0.1106868642267176,0.672212724072234,0.10740521667231231,1.9031156080327685,False,0.0053676348227908455,True,equal_weight,0
2013-04-30,EW,DBC,0.1,0.11086819609830578,0.6755780481099323,0.10663404024398616,1.9007681365621243,False,0.01433472299257045,True,equal_weight,0
2013-05-31,EW,DBC,0.1,0.11069883207660028,0.6790831409159489,0.1068202914177033,1.9030414509753952,False,0.01009909471072687,True,equal_weight,0
2013-06-28,EW,DBC,0.1,0.11014159798745003,0.6851961348327061,0.10530140343703309,1.8706894084863932,False,0.009090719747766263,True,equal_weight,0
2013-07-31,EW,DBC,0.1,0.11011021611715276,0.6946556043139085,0.10355145842578106,1.838716447876677,False,0.011673128551463768,True,equal_weight,0
2013-08-30,EW,DBC,0.1,0.10964780275400503,0.7002200685529963,0.1026712508816577,1.8161921741051774,False,0.01065214366240081,True,equal_weight,0
2013-09-30,EW,DBC,0.1,0.11002117586488169,0.7047545478721126,0.10019532216124671,1.7465499566305611,False,0.014027599875085332,True,equal_weight,0
2013-10-31,EW,DBC,0.1,0.11316484400220395,0.6867095183900369,0.10124180238749843,1.6629503867041548,False,0.008159849623327164,True,equal_weight,0
2013-11-29,EW,DBC,0.1,0.11787999932325342,0.6921348308560199,0.09547792759201462,1.5022944447933564,False,0.009660742116422573,True,equal_weight,0
2013-12-31,EW,DBC,0.1,0.12328899294522191,0.7083661757651385,0.09099956006313936,1.4644668676789343,False,0.007551951884486527,True,equal_weight,0
2014-01-31,EW,DBC,0.1,0.12296641491424053,0.7079734464016583,0.08859971994405241,1.4124670815112965,False,0.02064910693475948,True,equal_weight,0
2014-02-28,EW,DBC,0.1,0.12533936747648353,0.7158267290692456,0.08650393656584673,1.4135784810597232,False,0.010280780278134644,True,equal_weight,0
2014-03-31,EW,DBC,0.1,0.13179173189519383,0.7333567962542669,0.0852210183019162,1.4431642845431476,False,0.005416033014329011,True,equal_weight,0
2014-04-30,EW,DBC,0.1,0.13330884721080943,0.7274337083057345,0.08164427682597371,1.393696500729085,False,0.002883847710939823,True,equal_weight,0
2014-05-30,EW,DBC,0.1,0.13569809976035938,0.728504125221485,0.08118382048988575,1.3966375032714307,False,0.0070442116086574524,True,equal_weight,0
2014-06-30,EW,DBC,0.1,0.13507120178113838,0.7244837984103712,0.08233508539670896,1.4168733655836405,False,0.00680575536357423,True,equal_weight,0
2014-07-31,EW,DBC,0.1,0.1348581721879162,0.7234132280894422,0.08119646893496632,1.3855719235640656,False,0.007927282253541758,True,equal_weight,0
2014-08-29,EW,DBC,0.1,0.133302382969383,0.7195306138747523,0.08097020677573444,1.3792811171185444,False,0.007173729542574926,True,equal_weight,0
2014-09-30,EW,DBC,0.1,0.13271312232342508,0.7182762884977162,0.08057364987395027,1.364718163042304,False,0.011747103032290332,True,equal_weight,0
2014-10-31,EW,DBC,0.1,0.13226703061102413,0.7149525862506019,0.08110216062079106,1.3615991184961358,False,0.011459132165914918,True,equal_weight,0
2014-11-28,EW,DBC,0.1,0.13151238479628513,0.7084277883645367,0.08009472884630443,1.326842477125472,False,0.010407207266897388,True,equal_weight,0
2014-12-31,EW,DBC,0.1,0.1321013674790467,0.7017751904995259,0.07996708245623908,1.313900980127295,False,0.013917134282693755,True,equal_weight,0
2015-01-30,EW,DBC,0.1,0.13139933338819268,0.6938018972447606,0.07989687474222301,1.293694454166586,False,0.019293886430802952,True,equal_weight,0
2015-02-27,EW,DBC,0.1,0.1294189535980891,0.6789027819328434,0.07865814281568465,1.235557646949094,False,0.020733519906164823,True,equal_weight,0
2015-03-31,EW,DBC,0.1,0.12881510427242907,0.6778599367759194,0.07641660933245868,1.1896077260852471,False,0.008015835414499725,True,equal_weight,0
2015-04-30,EW,DBC,0.1,0.12831555901001132,0.673805697610656,0.07493191363266274,1.1558674094122188,False,0.015415128346185525,True,equal_weight,0
2015-05-29,EW,DBC,0.1,0.12749808918854943,0.662621202210706,0.06936563839276738,1.0394530785301679,False,0.00655851817599129,True,equal_weight,0
2015-06-30,EW,DBC,0.1,0.12612562942582659,0.6513994739299367,0.06569721212689017,0.9588186720281933,False,0.006302480432110444,True,equal_weight,0
2015-07-31,EW,DBC,0.1,0.12617687145828005,0.6425251403750091,0.06490292075328694,0.9272792963883293,False,0.023156233917576388,True,equal_weight,0
2015-08-31,EW,DBC,0.1,0.12599874276372855,0.640371038182724,0.06484731206142635,0.9231098531522701,False,0.01799231933438797,True,equal_weight,0
2015-09-30,EW,DBC,0.1,0.1268105970838002,0.641532633977683,0.0654143297472583,0.9365767557983443,False,0.011226654466470684,True,equal_weight,0
2015-10-30,EW,DBC,0.1,0.1252106005183924,0.6349791432388485,0.06664186453882771,0.946206556239982,False,0.015000766852742785,True,equal_weight,0
2015-11-30,EW,DBC,0.1,0.12384170115848706,0.6267678357211951,0.06853105406158536,0.969593106392554,False,0.010555023879414621,True,equal_weight,0
2015-12-31,EW,DBC,0.1,0.12392287016983636,0.6263204952486664,0.06918052461285414,0.989607500120178,False,0.0076482713608364145,True,equal_weight,0
2016-01-29,EW,DBC,0.1,0.1252065937069304,0.6306363737121564,0.07133721414548039,1.029829570890895,False,0.019807817538311165,True,equal_weight,0
2016-02-29,EW,DBC,0.1,0.12640656081394105,0.6368412556626052,0.07133536838313292,1.0312341034445254,False,0.011394502132610958,True,equal_weight,0
2016-03-31,EW,DBC,0.1,0.12559061399716584,0.6360786441949938,0.07053420800687828,1.0146784697819933,False,0.018167738360793745,True,equal_weight,0
2016-04-29,EW,DBC,0.1,0.12607231617595435,0.6359813202052398,0.07075666283272215,1.0160890091919785,False,0.011995705445344389,True,equal_weight,0
2016-05-31,EW,DBC,0.1,0.12279408887590812,0.6329868537928985,0.07048611052056067,0.9970974525125489,False,0.008803978422692475,True,equal_weight,0
2016-06-30,EW,DBC,0.1,0.12332423552620836,0.6344359843417462,0.07076081710584473,0.9853052457742705,False,0.012048271620003242,True,equal_weight,0
2016-07-29,EW,DBC,0.1,0.12301311796669116,0.6296570546616244,0.07040808870800597,0.9763913430799658,False,0.011302480414883145,True,equal_weight,0
2016-08-31,EW,DBC,0.1,0.12600254928052027,0.6233949551214,0.06335042630978754,0.8495161479427518,False,0.006278843756393947,True,equal_weight,0
2016-09-30,EW,DBC,0.1,0.12425186617324344,0.6130529789738682,0.058855384883602736,0.7669626031940617,False,0.006616115425987952,True,equal_weight,0
2016-10-31,EW,DBC,0.1,0.12197342026037022,0.5970200990807895,0.05436121365272231,0.6699291161140163,False,0.006850300053170527,True,equal_weight,0
2016-11-30,EW,DBC,0.1,0.12127270944850548,0.5812424523400586,0.04809433164783355,0.5276742834388102,False,0.014655546016254573,True,equal_weight,0
2016-12-30,EW,DBC,0.1,0.12105092431206084,0.5700760973507334,0.044092716331274304,0.447881057458376,False,0.008740620117585432,True,equal_weight,0
2017-01-31,EW,DBC,0.1,0.12041724716389895,0.5666688888748098,0.04271179211006164,0.4215561345397211,False,0.009902983205403573,True,equal_weight,0
2017-02-28,EW,DBC,0.1,0.12028025830807344,0.5659696278379327,0.042088168641559176,0.41066960145244874,False,0.005362855836321713,True,equal_weight,0
2017-03-31,EW,DBC,0.1,0.12044126137814505,0.5646312138018577,0.041275928914836044,0.39602684273317645,False,0.0069982367433274115,True,equal_weight,0
2017-04-28,EW,DBC,0.1,0.12004949552077968,0.5602039723007386,0.04044829206582067,0.378306518469588,False,0.004515661137823798,True,equal_weight,0
2017-05-31,EW,DBC,0.1,0.12077337964078945,0.5585800278277276,0.03936182216851681,0.357552536741877,False,0.006127152927732291,True,equal_weight,0
2017-06-30,EW,DBC,0.1,0.11904792272117293,0.5501186548988982,0.03738808735615027,0.3238527990284265,False,0.004971384816136237,True,equal_weight,0
2017-07-31,EW,DBC,0.1,0.11524174431931146,0.5350470834484394,0.03590288539801021,0.2970252629986353,False,0.007344653616058773,True,equal_weight,0
2017-08-31,EW,DBC,0.1,0.11494828455030281,0.5315275017529942,0.03543579593556329,0.28806091069170026,False,0.0059026156826266635,True,equal_weight,0
2017-09-29,EW,DBC,0.1,0.11559877573993677,0.532213918255309,0.034595346451554536,0.27453421612498996,False,0.007236005594394218,True,equal_weight,0
2017-10-31,EW,DBC,0.1,0.11490055246861697,0.5302675783976846,0.03389287577065185,0.261705292266531,False,0.007398237114187349,True,equal_weight,0
2017-11-30,EW,DBC,0.1,0.11458593084465009,0.5285228458276241,0.03333414816263856,0.24931847046915304,False,0.004318869598381299,True,equal_weight,0
2017-12-29,EW,DBC,0.1,0.11452010436952113,0.5278019827006578,0.03320178604902029,0.2466302317844087,False,0.004289720919962908,True,equal_weight,0
2018-01-31,EW,DBC,0.1,0.11434031511722577,0.527013056254724,0.033067779714523196,0.24184924395705096,False,0.018064190259029708,True,equal_weight,0
2018-02-28,EW,DBC,0.1,0.11236780198752065,0.5266211403567079,0.033975987953542265,0.25210508751461974,False,0.00879792604100476,True,equal_weight,0
2018-03-29,EW,DBC,0.1,0.1118389192880214,0.52546835750544,0.034700071268654896,0.2609137985835446,False,0.006241729866862528,True,equal_weight,0
2018-04-30,EW,DBC,0.1,0.1109783128835026,0.5201061900810855,0.034690111786865874,0.25204448480072134,False,0.007315492480846279,True,equal_weight,0
2018-05-31,EW,DBC,0.1,0.11091556015246219,0.5196156699409167,0.035101999231757344,0.25445688084347445,False,0.008027288899888387,True,equal_weight,0
2018-06-29,EW,DBC,0.1,0.11442702855759579,0.5175738647834225,0.03640805681730394,0.2619687089608505,False,0.009421585967254065,True,equal_weight,0
2018-07-31,EW,DBC,0.1,0.1191089823742017,0.5273087132215558,0.03814170399390016,0.28586114727687845,False,0.009278618435008476,True,equal_weight,0
2018-08-31,EW,DBC,0.1,0.12151681806437808,0.5349374441973284,0.039536706743091385,0.3022721022268262,False,0.00835139952987967,True,equal_weight,0
2018-09-28,EW,DBC,0.1,0.12283344720511308,0.5329560080526901,0.04085803167746133,0.31666514998133644,False,0.00634100880861245,True,equal_weight,0
2018-10-31,EW,DBC,0.1,0.12379377182745652,0.5356226573322624,0.04258526198425747,0.33433979395457225,False,0.01547017053210177,True,equal_weight,0
2018-11-30,EW,DBC,0.1,0.12563794593139643,0.5380713429346985,0.04432580071763493,0.35582778876459253,False,0.011648956110354956,True,equal_weight,0
2018-12-31,EW,DBC,0.1,0.12764231148415955,0.542970280175286,0.046168968559762505,0.3877878419205746,False,0.023281925937814668,True,equal_weight,0
2019-01-31,EW,DBC,0.1,0.12896592506975602,0.5474674187667301,0.04680789241078725,0.4008941356905383,False,0.017118557059163285,True,equal_weight,0
